model,correlation,pvalue,predictor,feature
SVR-RBF,0.5490580516486937,1.9720441195605505e-19,Accessibility,grammaticality
Linear,0.3917576628854299,8.085407549205352e-10,Accessibility,grammaticality
SVR-RBF,0.5168964257030085,4.8090118537039183e-17,Accessibility,grammaticality
Linear,0.3638581749113752,1.4143109550305075e-08,Accessibility,grammaticality
SVR-RBF,0.4917885565694057,2.386348575810168e-15,Accessibility,grammaticality
Linear,0.4923705944423256,1.9000454511295563e-15,Accessibility,grammaticality
SVR-RBF,0.5901724394147093,5.61340841436337e-23,Accessibility,grammaticality
Linear,0.41948158988233764,3.565405619855728e-11,Accessibility,grammaticality
SVR-RBF,0.5426278290594092,6.205422948480341e-19,Accessibility,grammaticality
Linear,0.45068085823425125,7.429279614984417e-13,Accessibility,grammaticality
SVR-RBF,0.532961789058908,3.322012417219807e-18,Accessibility,grammaticality
Linear,0.42556341055205865,1.728792656625892e-11,Accessibility,grammaticality
SVR-RBF,0.501699663971365,5.308434296743067e-16,Accessibility,grammaticality
Linear,0.4317133145365071,8.192287756103963e-12,Accessibility,grammaticality
SVR-RBF,0.5484167540454149,2.213347663300348e-19,Accessibility,grammaticality
Linear,0.41793590333386277,3.876175529840089e-11,Accessibility,grammaticality
SVR-RBF,0.5169856739544144,4.048702893076691e-17,Accessibility,grammaticality
Linear,0.48998391794401974,3.1213015354145584e-15,Accessibility,grammaticality
SVR-RBF,0.5718958237765136,2.7369954481923177e-21,Accessibility,grammaticality
Linear,0.42124285464799477,2.895451651166481e-11,Accessibility,grammaticality
SVR-RBF,0.5332798888838319,3.1462455007460066e-18,Accessibility,grammaticality
Linear,0.4271790428567553,1.4228845432255929e-11,Accessibility,grammaticality
SVR-RBF,0.526215960036536,1.0381458400998715e-17,Accessibility,grammaticality
Linear,0.4631478815788967,1.4117522917131762e-13,Accessibility,grammaticality
SVR-RBF,0.5523679997972474,1.0825468712481394e-19,Accessibility,grammaticality
Linear,0.42169984594845544,2.4816447205250033e-11,Accessibility,masked_grammaticality
SVR-RBF,0.5511036364433675,1.1343398197710085e-19,Accessibility,masked_grammaticality
Linear,0.5201484038898925,2.831700008567907e-17,Accessibility,masked_grammaticality
SVR-RBF,0.6205347862099001,9.118991594796458e-26,Accessibility,masked_grammaticality
Linear,0.5128347643243617,9.244908161435693e-17,Accessibility,masked_grammaticality
SVR-RBF,0.6156120451151028,2.810056052523819e-25,Accessibility,masked_grammaticality
Linear,0.4177585386615032,4.365503104645656e-11,Accessibility,masked_grammaticality
SVR-RBF,0.534185253610314,2.694401005421374e-18,Accessibility,masked_grammaticality
Linear,0.41793555233070184,4.275869969796777e-11,Accessibility,masked_grammaticality
SVR-RBF,0.5030222135574711,4.327640336145371e-16,Accessibility,masked_grammaticality
Linear,0.35302375891111726,3.735911263473495e-08,Accessibility,masked_grammaticality
SVR-RBF,0.41552703127451635,5.141509400444534e-11,Accessibility,masked_grammaticality
Linear,0.5865353294778277,1.4737220772713974e-22,Accessibility,masked_grammaticality
SVR-RBF,0.6488478882687473,9.385284611147238e-29,Accessibility,masked_grammaticality
Linear,0.41437112672726456,6.477991082043885e-11,Accessibility,masked_grammaticality
SVR-RBF,0.5686790850053713,5.101284780126194e-21,Accessibility,masked_grammaticality
Linear,0.45192821996699056,6.311055366325037e-13,Accessibility,masked_grammaticality
SVR-RBF,0.5816699524955782,3.95551122275102e-22,Accessibility,masked_grammaticality
Linear,0.43772670846791645,3.889384995107844e-12,Accessibility,masked_grammaticality
SVR-RBF,0.5450050663284183,4.073414198426448e-19,Accessibility,masked_grammaticality
Linear,0.4339175366476565,5.6148472707001234e-12,Accessibility,masked_grammaticality
SVR-RBF,0.523470295847608,1.393379326362815e-17,Accessibility,masked_grammaticality
Linear,0.4861332258336362,5.5062475053574135e-15,Accessibility,masked_grammaticality
SVR-RBF,0.5825797418430896,3.2928155760140465e-22,Accessibility,masked_grammaticality
Linear,0.42138469127078204,2.84717438018569e-11,Accessibility,masked_grammaticality
SVR-RBF,0.5870742036246719,1.3197165446650504e-22,Accessibility,masked_grammaticality
Linear,0.4882418705521166,4.0387260507073605e-15,Accessibility,masked_grammaticality
SVR-RBF,0.6027541229898905,4.849322219318206e-24,Accessibility,masked_grammaticality
Linear,0.45558338582991964,3.8979608624271836e-13,Accessibility,masked_grammaticality
SVR-RBF,0.5735697797982492,1.9741629150141588e-21,Accessibility,masked_grammaticality
Linear,0.49493546544382394,1.2906593141592161e-15,Accessibility,mutated_grammaticality
SVR-RBF,0.5833185605119656,2.2985989202974643e-22,Accessibility,mutated_grammaticality
Linear,0.4753691442091709,2.5928967126918193e-14,Accessibility,mutated_grammaticality
SVR-RBF,0.5607345645332844,2.3068248091925276e-20,Accessibility,mutated_grammaticality
Linear,0.43716267478464843,4.173473943920956e-12,Accessibility,mutated_grammaticality
SVR-RBF,0.5554111156978649,6.200296643983634e-20,Accessibility,mutated_grammaticality
Linear,0.5081377585094081,1.9474625299565454e-16,Accessibility,mutated_grammaticality
SVR-RBF,0.570859622248722,3.3473589019505746e-21,Accessibility,mutated_grammaticality
Linear,0.4044517778916371,2.006631708812064e-10,Accessibility,mutated_grammaticality
SVR-RBF,0.5166262525485228,5.024056288866039e-17,Accessibility,mutated_grammaticality
Linear,0.4673797017436242,6.978759705384832e-14,Accessibility,mutated_grammaticality
SVR-RBF,0.5785182783614339,6.0497290751517625e-22,Accessibility,mutated_grammaticality
Linear,0.37888468180340246,3.1314788641833257e-09,Accessibility,mutated_grammaticality
SVR-RBF,0.49947284179069223,7.472666825358807e-16,Accessibility,mutated_grammaticality
Linear,0.5240983163878631,1.476876420639868e-17,Accessibility,mutated_grammaticality
SVR-RBF,0.6211242201340051,7.958706109993234e-26,Accessibility,mutated_grammaticality
Linear,0.4499374339236668,8.18527144689888e-13,Accessibility,mutated_grammaticality
SVR-RBF,0.5580973210716371,3.773117077579579e-20,Accessibility,mutated_grammaticality
Linear,0.46818268908196525,7.081117072405421e-14,Accessibility,mutated_grammaticality
SVR-RBF,0.5406878360277948,8.727524085447747e-19,Accessibility,mutated_grammaticality
Linear,0.5367915856581986,1.4479882897979827e-18,Accessibility,mutated_grammaticality
SVR-RBF,0.6309034863931312,6.17302748892983e-27,Accessibility,mutated_grammaticality
Linear,0.45946794304456995,2.3210809644817447e-13,Accessibility,mutated_grammaticality
SVR-RBF,0.5585701362047586,3.4556470909982504e-20,Accessibility,mutated_grammaticality
Linear,0.5012781026087885,5.664529330194035e-16,Accessibility,mutated_grammaticality
SVR-RBF,0.5948241861170918,2.6369719314647413e-23,Accessibility,mutated_grammaticality
Linear,0.43159240868152027,8.314667225524295e-12,Accessibility,mutated_grammaticality
SVR-RBF,0.5133407862093691,8.526004946190579e-17,Accessibility,mutated_grammaticality
Linear,0.40473608625294005,1.9436468606980993e-10,Accessibility,mutated_grammaticality
SVR-RBF,0.4841545338745014,7.350766322098109e-15,Accessibility,mutated_grammaticality
Linear,0.14059453819998385,0.033072545613708836,Accessibility,Evescape Fitness
SVR-RBF,0.05614582472264613,0.39670363355906424,Accessibility,Evescape Fitness
Linear,0.10596863400988946,0.10974787738949486,Accessibility,Evescape Fitness
SVR-RBF,0.09939432444226465,0.13371961482985617,Accessibility,Evescape Fitness
Linear,0.1526178506934971,0.02086379981603188,Accessibility,Evescape Fitness
SVR-RBF,0.14789379465262237,0.025213628707706073,Accessibility,Evescape Fitness
Linear,0.2667523223181216,4.33346208625208e-05,Accessibility,Evescape Fitness
SVR-RBF,0.2669163010009666,4.284990937095635e-05,Accessibility,Evescape Fitness
Linear,0.3910144606270837,8.75685144786964e-10,Accessibility,Evescape Fitness
SVR-RBF,0.21696237211776534,0.0009507047611692095,Accessibility,Evescape Fitness
Linear,0.23049239644492003,0.00042489976411860765,Accessibility,Evescape Fitness
SVR-RBF,0.17808829746679045,0.006772935533752278,Accessibility,Evescape Fitness
Linear,0.2931057392577794,6.461887733774575e-06,Accessibility,Evescape Fitness
